accessFrom[JDUT1],accessDuration[s],gpi,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2457769.4809154025,511.9972229003905,158,2563.654359821525,63.84200210840058,84.98996568518758,nan,True
2457769.4809038285,515.9972012042999,159,2555.0690761563933,63.82498621019167,84.895524071457,nan,True
2457769.4808922545,519.9971795082092,160,2546.471545990471,63.80756691213908,84.80055716854594,nan,True
2457769.4808806805,523.9971578121184,161,2537.8787174877307,63.78977404200413,84.70524739057933,nan,True
2457769.4808806805,526.9971415400505,162,2529.282181446903,63.77158620209717,84.60949721516774,nan,True
2457769.4808691065,530.9971198439598,163,2520.6819814729392,63.75299886414493,84.51330222060936,nan,True
2457769.4808575325,534.9970981478691,164,2512.078161610538,63.73400743722819,84.4166579225321,nan,True
2457769.4808575325,537.997081875801,165,2503.4442012695217,63.71453936843389,84.31925068055844,nan,True
2457769.4808459585,539.9970710277556,166,2494.8513845945413,63.694773982448574,84.2219071579532,nan,True
2457769.4808459585,539.9970710277556,167,2486.2785242942023,63.67464770648672,84.12436959602066,nan,True
2457769.4808343844,540.9970656037331,168,2477.805354262485,63.65435941492064,84.02755822901872,nan,True
2457769.4808228104,541.9970601797104,169,2469.2854661368283,63.633542833957016,83.92978159097792,nan,True
2457769.4808228104,541.9970601797104,170,2460.7947753940875,63.61238525839211,83.83191377157496,nan,True
2457769.4808112364,542.9970547556876,171,2452.484868001921,63.59128292007784,83.7357221472849,nan,True
2457769.4808112364,542.9970547556876,172,2444.057715549919,63.56946374824479,83.63773867546901,nan,True
2457769.4807996624,543.997049331665,173,2435.643967420372,63.547261522892235,83.53947877593372,nan,True
2457769.4807996624,543.997049331665,174,2427.260438008347,63.52471934196273,83.4411373639578,nan,True
2457769.4807880884,544.9970439076424,175,2419.1623807900733,63.502550446901594,83.3457374828582,nan,True
2457769.4807880884,544.9970439076424,176,2410.8452938474743,63.47935828641031,83.24731736516068,nan,True
2457769.4807880884,544.9970439076424,177,2402.5510448285777,63.45580575352829,83.14872817045247,nan,True
2457769.4807765144,545.9970384836197,178,2394.27175980745,63.43186877798481,83.04987440199562,nan,True
2457769.4807765144,545.9970384836197,179,2386.0240031433727,63.407594208212316,82.95095262663861,nan,True
2457769.4807649404,546.9970330595969,180,2378.1919292419852,63.38415061803073,82.8566106366882,nan,True
2457769.4807649404,546.9970330595969,181,2370.0143126363246,63.35924375836152,82.75766029396824,nan,True
2457769.4807533664,547.9970276355743,182,2361.8530023760122,63.333953448416416,82.6584579049502,nan,True
2457769.4807533664,547.9970276355743,183,2353.7243427878375,63.30832952012181,82.55920116686079,nan,True
2457769.4807533664,547.9970276355743,184,2345.6205705108314,63.28234737788759,82.45979503185376,nan,True
2457769.4807417924,548.9970222115517,185,2338.0669673347666,63.25774048406559,82.3667351395584,nan,True
2457769.4807417924,548.9970222115517,186,2330.0372035801315,63.231149501227634,82.26735816025078,nan,True
2457769.4807417924,548.9970222115517,187,2322.0254622116595,63.20417769872473,82.16774659975128,nan,True
2457769.4807302183,549.9970167875289,188,2314.0478085631935,63.17687865835964,82.06809956036912,nan,True
2457769.4807302183,549.9970167875289,189,2306.0966412199655,63.149226578732375,81.96832219510951,nan,True
2457769.4807302183,549.9970167875289,190,2298.1722601741626,63.121222117461905,81.86841775078834,nan,True
2457769.4807302183,549.9970167875289,191,2290.267201341136,63.0928379107534,81.76829098484258,nan,True
2457769.4807186443,550.9970113635063,192,2283.1080430296247,63.06675007702044,81.67721578139056,nan,True
2457769.4807186443,550.9970113635063,193,2275.290347896488,63.037825244327585,81.57730682807603,nan,True
2457769.4807186443,550.9970113635063,194,2267.5008188988904,63.00855527886818,81.47729021435234,nan,True
2457769.4807186443,550.9970113635063,195,2259.7321396793564,62.9789120207921,81.37707119309289,nan,True
2457769.4807070703,551.9970059394836,196,2251.9999221292337,62.948955111430614,81.27685112732979,nan,True
2457769.4807070703,551.9970059394836,197,2244.2968279032325,62.91865693539965,81.17653564249518,nan,True
2457769.4807070703,551.9970059394836,198,2236.6231822087243,62.888018991537486,81.07612909482428,nan,True
2457769.4807070703,551.9970059394836,199,2228.9793133964895,62.85704288837768,80.9756359839543,nan,True
2457769.4807070703,551.9970059394836,200,2221.3580666854978,62.82569933176243,80.87496182836003,nan,True
2457769.4806954963,552.997000515461,201,2214.7305911070684,62.798074911298116,80.78703267642206,nan,True
2457769.4806954963,552.997000515461,202,2207.2039624084664,62.76626350758304,80.68671506111379,nan,True
2457769.4806954963,552.997000515461,203,2199.7086073770624,62.734125767916915,80.58633616051122,nan,True
2457769.4806954963,552.997000515461,204,2192.237532701826,62.70163180958161,80.48580232543078,nan,True
2457769.4806954963,552.997000515461,205,2184.805793092586,62.6688479838398,80.38531695016071,nan,True
2457769.4806954963,552.997000515461,206,2177.4063702498433,62.63574498177591,80.28478676361513,nan,True
2457769.4806954963,552.997000515461,207,2170.0396180953444,62.6023254494737,80.18421758593452,nan,True
2457769.4806954963,552.997000515461,208,2162.6986847806306,62.568558779367315,80.08351627786058,nan,True
2457769.4806839223,553.9969950914384,209,2155.398381520475,62.53451436243511,79.9828872392517,nan,True
2457769.4806839223,553.9969950914384,210,2148.131830090231,62.500162177292744,79.88223771024136,nan,True
2457769.4806839223,553.9969950914384,211,2140.899397087039,62.46550542687569,79.78157421057278,nan,True
2457769.4806839223,553.9969950914384,212,2133.7014522684167,62.43054746050315,79.68090344241732,nan,True
2457769.4806839223,553.9969950914384,213,2126.5313286342357,62.39525689648944,79.58013311211309,nan,True
2457769.4806839223,553.9969950914384,214,2119.403516970257,62.35970685827957,79.47946866840797,nan,True
2457769.4806839223,553.9969950914384,215,2112.3113220332566,62.32386656309737,79.37881819460655,nan,True
2457769.4806839223,553.9969950914384,216,2105.2551261498666,62.28773997483322,79.27818915275203,nan,True
2457769.4806839223,553.9969950914384,217,2098.228416759494,62.2512952097395,79.17749010586398,nan,True
2457769.4806839223,553.9969950914384,218,2091.245414829248,62.214608301421165,79.07692714654178,nan,True
2457769.4806839223,553.9969950914384,219,2084.299577948197,62.17764797234183,78.97640920880472,nan,True
2457769.4806839223,553.9969950914384,220,2077.3913008113063,62.140418846788805,78.87594456143003,nan,True
2457769.4806839223,553.9969950914384,221,2070.5209811599593,62.1029257211332,78.77554168189269,nan,True
2457769.4806839223,553.9969950914384,222,2063.6823078105117,62.06513624629522,78.67511044707345,nan,True
