Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
6458.0,False,10010.843136614685
6459.0,False,10010.843868845872
6460.0,False,10010.844601250605
6461.0,False,10010.845333828063
6462.0,False,10010.846066577458
6463.0,False,10010.84679949791
6464.0,False,10010.847532588634
6465.0,False,10010.848265848814
6466.0,False,10010.848999277589
6467.0,False,10010.849732874165
6468.0,False,10010.850466637705
6469.0,False,10010.85120056738
6470.0,False,10010.851934662382
6471.0,False,10010.852668921872
6472.0,False,10010.853403345023
6473.0,False,10010.85413793103
6474.0,False,10010.854872679029
6475.0,False,10010.855607588239
6476.0,False,10010.856342657804
6477.0,False,10010.857077886902
6478.0,False,10010.857813274719
6479.0,False,10010.858548820417
6480.0,False,10010.859284523165
6481.0,False,10010.860020382159
6482.0,False,10010.860756396552
6483.0,False,10010.861492565515
6484.0,False,10010.862228888243
6485.0,False,10010.862965363867
6486.0,False,10010.863701991615
6487.0,False,10010.864438770619
6488.0,False,10010.86517570005
6489.0,False,10010.865912779107
6490.0,False,10010.866650006943
6491.0,False,10010.867387382723
6492.0,False,10010.868124905635
6493.0,False,10010.868862574844
6494.0,False,10010.869600389507
6495.0,False,10010.87033834883
6496.0,False,10010.871076451931
6497.0,False,10010.871814698039
6498.0,False,10010.872553086283
6499.0,False,10010.873291615833
6500.0,False,10010.874030285902
6501.0,False,10010.874769095613
6502.0,False,10010.87550804414
6503.0,False,10010.876247130687
6504.0,False,10010.876986354397
6505.0,False,10010.877725714421
6506.0,False,10010.878465209984
6507.0,False,10010.879204840194
6508.0,False,10010.879944604261
6509.0,False,10010.880684501337
6510.0,False,10010.881424530582
6511.0,False,10010.88216469119
6512.0,False,10010.882904982316
6513.0,False,10010.883645403104
6514.0,False,10010.884385952771
6515.0,False,10010.885126630443
6516.0,False,10010.885867435303
6517.0,False,10010.886608366538
6518.0,False,10010.887349423254
6519.0,False,10010.888090604703
6520.0,False,10010.888831909982
6521.0,False,10010.889573338287
6522.0,False,10010.890314888793
6523.0,False,10010.891056560655
6524.0,False,10010.891798353023
6525.0,False,10010.892540265097
6526.0,False,10010.893282296025
6527.0,False,10010.894024444951
6528.0,False,10010.894766711102
6529.0,False,10010.895509093572
6530.0,False,10010.896251591588
6531.0,False,10010.896994204275
6532.0,False,10010.897736930809
6533.0,False,10010.898479770362
6534.0,False,10010.899222722095
6535.0,False,10010.89996578516
6536.0,False,10010.900708958754
6537.0,False,10010.90145224202
6538.0,False,10010.902195634111
6539.0,False,10010.902939134241
6540.0,False,10010.903682741493
6541.0,False,10010.904426455101
6542.0,False,10010.905170274207
6543.0,False,10010.905914197961
6544.0,False,10010.906658225551
6545.0,False,10010.907402356126
6546.0,False,10010.908146588843
6547.0,False,10010.908890922905
6548.0,False,10010.909635357408
6549.0,False,10010.910379891566
6550.0,False,10010.911124524559
6551.0,False,10010.911869255478
6552.0,False,10010.91261408355
6553.0,False,10010.913359007918
6554.0,False,10010.914104027725
6555.0,False,10010.914849142164
6556.0,False,10010.915594350396
6557.0,False,10010.916339651552
6558.0,False,10010.91708504484
6559.0,False,10010.917830529372
6560.0,False,10010.91857610434
6561.0,False,10010.919321768923
6562.0,False,10010.920067522238
6563.0,False,10010.920813363478
6564.0,False,10010.921559291812
6565.0,False,10010.922305306358
6566.0,False,10010.923051406326
6567.0,False,10010.923797590862
6568.0,False,10010.9245438591
6569.0,False,10010.925290210256
6570.0,False,10010.92603664343
6571.0,False,10010.926783157822
6572.0,False,10010.92752975259
6573.0,False,10010.928276426883
6574.0,False,10010.929023179877
6575.0,False,10010.929770010714
6576.0,False,10010.930516918559
6577.0,False,10010.931263902588
6578.0,False,10010.93201096195
6579.0,False,10010.932758095796
6580.0,False,10010.933505303325
6581.0,False,10010.934252583618
6582.0,False,10010.934999935926
6583.0,False,10010.935747359359
6584.0,False,10010.936494853073
6585.0,False,10010.937242416256
6586.0,False,10010.937990048053
6587.0,False,10010.938737747612
6588.0,False,10010.939485514127
6589.0,False,10010.94023334672
6590.0,False,10010.940981244561
6591.0,False,10010.941729206841
6592.0,False,10010.942477232655
6593.0,False,10010.943225321224
6594.0,False,10010.943973471676
6595.0,False,10010.944721683169
6596.0,False,10010.945469954886
6597.0,False,10010.94621828597
6598.0,False,10010.946966675563
6599.0,False,10010.947715122857
6600.0,False,10010.948463626988
6601.0,False,10010.949212187114
6602.0,False,10010.949960802429
6603.0,False,10010.95070947203
6604.0,False,10010.951458195143
6605.0,False,10010.952206970867
6606.0,False,10010.95295579839
6607.0,False,10010.953704676878
6608.0,False,10010.954453605471
6609.0,False,10010.955202583327
6610.0,False,10010.95595160963
6611.0,False,10010.95670068352
6612.0,False,10010.957449804126
6613.0,False,10010.958198970673
6614.0,False,10010.958948182239
6615.0,False,10010.95969743806
6616.0,False,10010.96044673724
6617.0,False,10010.96119607895
6618.0,False,10010.961945462377
6619.0,False,10010.96269488663
6620.0,False,10010.963444350895
6621.0,False,10010.964193854334
6622.0,False,10010.9649433961
6623.0,False,10010.965692975324
6624.0,False,10010.966442591218
6625.0,False,10010.967192242872
6626.0,False,10010.967941929512
6627.0,False,10010.968691650243
6628.0,False,10010.969441404246
6629.0,False,10010.970191190681
6630.0,False,10010.970941008696
6631.0,False,10010.971690857437
6632.0,False,10010.972440736095
6633.0,False,10010.97319064379
6634.0,False,10010.973940579705
6635.0,False,10010.974690542998
6636.0,False,10010.975440532799
6637.0,False,10010.976190548297
6638.0,False,10010.976940588633
6639.0,False,10010.97769065295
6640.0,False,10010.978440740442
6641.0,False,10010.979190850236
6642.0,False,10010.979940981482
6643.0,False,10010.980691133373
6644.0,False,10010.981441305037
6645.0,False,10010.982191495641
6646.0,False,10010.982941704358
6647.0,False,10010.983691930307
6648.0,False,10010.984442172661
6649.0,False,10010.985192430595
6650.0,False,10010.985942703232
6651.0,False,10010.986692989774
6652.0,False,10010.987443289332
6653.0,False,10010.988193601075
6654.0,False,10010.9889439242
6655.0,False,10010.9896942578
6656.0,False,10010.990444601068
6657.0,False,10010.991194953172
6658.0,False,10010.99194531323
6659.0,False,10010.992695680441
6660.0,False,10010.993446053939
6661.0,False,10010.994196432866
6662.0,False,10010.994946816416
6663.0,False,10010.995697203709
6664.0,False,10010.996447593918
6665.0,False,10010.997197986215
6666.0,False,10010.997948379716
6667.0,False,10010.99869877362
6668.0,False,10010.999449167064
6669.0,False,10011.000199559201
6670.0,False,10011.0009499492
6671.0,False,10011.001700336217
6672.0,False,10011.002450719385
6673.0,False,10011.003201097894
6674.0,False,10011.003951470884
6675.0,False,10011.004701837488
6676.0,False,10011.00545219693
6677.0,False,10011.006202548278
6678.0,False,10011.006952890752
6679.0,False,10011.00770322351
6680.0,False,10011.008453545657
6681.0,False,10011.009203856413
6682.0,False,10011.009954154892
6683.0,False,10011.010704440252
6684.0,False,10011.011454711681
6685.0,False,10011.012204968301
6686.0,False,10011.012955209282
6687.0,False,10011.013705433807
6688.0,False,10011.014455640969
6689.0,False,10011.015205829981
6690.0,False,10011.015955999987
6691.0,False,10011.016706150118
6692.0,False,10011.017456279576
6693.0,False,10011.018206387495
6694.0,False,10011.018956473012
6695.0,False,10011.01970653533
6696.0,False,10011.020456573551
6697.0,False,10011.021206586869
6698.0,False,10011.021956574446
6699.0,False,10011.022706535394
6700.0,False,10011.023456468925
6701.0,False,10011.024206374166
6702.0,False,10011.024956250269
6703.0,False,10011.02570609642
6704.0,False,10011.026455911759
6705.0,False,10011.027205695422
