Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
7266.0,False,8078.384140739875,-32.8052357836968
7267.0,False,8083.394625576561,-32.83588145584808
7268.0,False,8088.403688331776,-32.86652422436334
7269.0,False,8093.411326124299,-32.89716409033095
7270.0,False,8098.417536077451,-32.92780105483362
7271.0,False,8103.422315319117,-32.9584351189485
7272.0,False,8108.425660981715,-32.989066283747036
7273.0,False,8113.4275682466505,-33.01969453831915
7274.0,False,8118.428038166118,-33.05031990767247
7275.0,False,8123.427065930933,-33.08094238089029
7276.0,False,8128.424648691554,-33.111561959021344
7277.0,False,8133.420783602955,-33.142178643109006
7278.0,False,8138.415467824552,-33.17279243419067
7279.0,False,8143.408698520194,-33.20340333329787
7280.0,False,8148.400472858198,-33.234011341456544
7281.0,False,8153.390786052636,-33.264616447672815
7282.0,False,8158.379639197616,-33.29521867698395
7283.0,False,8163.367027516431,-33.32581801838927
7284.0,False,8168.352948195024,-33.35641447289116
7285.0,False,8173.3373984237105,-33.38700804148615
7286.0,False,8178.320375397175,-33.41759872516479
7287.0,False,8183.301876314492,-33.44818652491193
7288.0,False,8188.281896417704,-33.478771429659
7289.0,False,8193.260436836843,-33.5093534644684
7290.0,False,8198.237492822956,-33.53993261826422
7291.0,False,8203.213061592403,-33.57050889200722
7292.0,False,8208.187140365806,-33.601082286651945
7293.0,False,8213.1597263681,-33.63165280314691
7294.0,False,8218.130816828454,-33.66222044243446
7295.0,False,8223.100408980305,-33.69278520545087
7296.0,False,8228.068498097193,-33.72334708104185
7297.0,False,8233.035085349024,-33.75390609429562
7298.0,False,8238.00016601811,-33.78446223405002
7299.0,False,8242.963737354821,-33.815015501216685
7300.0,False,8247.925796613717,-33.84556589670103
7301.0,False,8252.886341053512,-33.8761134214019
7302.0,False,8257.845367937127,-33.90665807621217
7303.0,False,8262.802872565078,-33.9371998499012
7304.0,False,8267.758856141401,-33.967738767578766
7305.0,False,8272.713313975239,-33.99827481800629
7306.0,False,8277.666243346097,-34.02880800205124
7307.0,False,8282.617641537596,-34.05933832057472
7308.0,False,8287.567505837415,-34.08986577443124
7309.0,False,8292.515833537442,-34.120390364469436
7310.0,False,8297.462621933559,-34.150912091531026
7311.0,False,8302.407866356534,-34.18143094429716
7312.0,False,8307.3515680485,-34.21194694790063
7313.0,False,8312.293722348679,-34.24246009101434
7314.0,False,8317.23432656918,-34.272970374454104
7315.0,False,8322.173378026191,-34.303477799029444
7316.0,False,8327.110874039881,-34.33398236554316
7317.0,False,8332.046811934424,-34.36448407479145
7318.0,False,8336.98118706664,-34.39498291537763
7319.0,False,8341.914000711158,-34.4254789124532
7320.0,False,8346.845248233021,-34.45597205461256
7321.0,False,8351.774926972359,-34.48646234262571
7322.0,False,8356.703034273234,-34.516949777255725
7323.0,False,8361.629567483624,-34.547434359259015
7324.0,False,8366.554523955494,-34.57791608938546
7325.0,False,8371.477899071211,-34.60839495615936
7326.0,False,8376.399694137197,-34.63887098474985
7327.0,False,8381.31990454394,-34.66934416367234
7328.0,False,8386.238527658983,-34.699814493649626
7329.0,False,8391.155560853802,-34.73028197539785
7330.0,False,8396.071001503657,-34.760746609625976
7331.0,False,8400.984846987736,-34.79120839703652
7332.0,False,8405.897094689057,-34.821667338325014
7333.0,False,8410.807740018743,-34.85212342192492
7334.0,False,8415.716784318638,-34.88257667302377
7335.0,False,8420.62422300779,-34.91302708004586
7336.0,False,8425.530053484506,-34.943474643659115
7337.0,False,8430.434273150908,-34.97391936452473
7338.0,False,8435.33687941286,-35.004361243296664
7339.0,False,8440.237869680037,-35.03480028062203
7340.0,False,8445.137239388314,-35.06523646485427
7341.0,False,8450.034989909756,-35.095669821195614
7342.0,False,8454.931116687996,-35.12610033798984
7343.0,False,8459.825617147724,-35.156528015856175
7344.0,False,8464.718488717348,-35.18695285540663
7345.0,False,8469.609728828964,-35.21737485724604
7346.0,False,8474.499334918439,-35.247794021972595
7347.0,False,8479.387304425296,-35.2782103501769
7348.0,False,8484.273632813165,-35.30862383011965
7349.0,False,8489.158321487877,-35.339034487018964
7350.0,False,8494.04136592069,-35.36944230912584
7351.0,False,8498.922763565803,-35.39984729700235
7352.0,False,8503.802511881122,-35.43024945120372
7353.0,False,8508.680608328172,-35.46064877227776
7354.0,False,8513.557050372096,-35.49104526076509
7355.0,False,8518.431833500446,-35.52143890484474
7356.0,False,8523.30495914787,-35.55182972974734
7357.0,False,8528.176422809353,-35.58221772364175
7358.0,False,8533.046221964474,-35.612602887039664
7359.0,False,8537.91435409645,-35.64298522044554
7360.0,False,8542.780816692008,-35.67336472435633
7361.0,False,8547.645607241457,-35.703741399261645
7362.0,False,8552.508721255914,-35.734115233258294
7363.0,False,8557.370160198181,-35.76448625158841
7364.0,False,8562.22991958662,-35.79485444233808
7365.0,False,8567.087996925757,-35.82521980596783
7366.0,False,8571.944389723618,-35.855582342930504
7367.0,False,8576.79909549171,-35.88594205367139
7368.0,False,8581.65211174509,-35.91629893862866
7369.0,False,8586.50343600229,-35.94665299823281
7370.0,False,8591.353063800856,-35.977004220485576
7371.0,False,8596.200996635034,-36.00735263064103
7372.0,False,8601.04723004952,-36.03769821669028
7373.0,False,8605.891761576717,-36.06804097903387
7374.0,False,8610.734588752537,-36.098380918065125
7375.0,False,8615.575709116272,-36.128718034169445
7376.0,False,8620.415120210684,-36.15905232772489
7377.0,False,8625.25281759612,-36.18938378664941
7378.0,False,8630.088802793642,-36.21971243620645
7379.0,False,8634.923071370607,-36.250038264303136
7380.0,False,8639.755620883434,-36.28036127128723
7381.0,False,8644.5864488919,-36.310681457498724
7382.0,False,8649.415552959183,-36.34099882326997
7383.0,False,8654.242930651819,-36.37131336892565
7384.0,False,8659.068579539738,-36.40162509478286
7385.0,False,8663.892495208956,-36.431933988663296
7386.0,False,8668.714679210412,-36.46224007583956
7387.0,False,8673.535127137007,-36.49254334412243
7388.0,False,8678.353836572045,-36.52284379379812
7389.0,False,8683.170805102085,-36.55314142514479
7390.0,False,8687.986030317123,-36.58343623843353
7391.0,False,8692.799509810367,-36.61372823392715
7392.0,False,8697.611239189944,-36.64401739936217
7393.0,False,8702.421220032375,-36.67430376001881
7394.0,False,8707.229447952497,-36.70458730362232
7395.0,False,8712.035920556707,-36.734868030404364
7396.0,False,8716.84063545468,-36.765145940589015
7397.0,False,8721.64359025931,-36.795421034392014
7398.0,False,8726.444782586774,-36.82569331202161
7399.0,False,8731.244210056477,-36.855962773678
7400.0,False,8736.041868301438,-36.8862294069999
7401.0,False,8740.837758926653,-36.916493237274565
7402.0,False,8745.631877571734,-36.94675425212927
7403.0,False,8750.424221868994,-36.977012451732584
7404.0,False,8755.21478945392,-37.00726783624497
7405.0,False,8760.00357796523,-37.03752040581906
7406.0,False,8764.790585044833,-37.06777016059956
7407.0,False,8769.575806347184,-37.098017088138775
7408.0,False,8774.359243501629,-37.12826121372943
7409.0,False,8779.140892169093,-37.15850252491209
7410.0,False,8783.920750004168,-37.18874102179946
7411.0,False,8788.69881466458,-37.218976704495965
7412.0,False,8793.475083811185,-37.24920957309794
7413.0,False,8798.249555108001,-37.27943962769373
7414.0,False,8803.022224230663,-37.309666855748844
7415.0,False,8807.793092832288,-37.33989128256037
7416.0,False,8812.562156594871,-37.37011289558199
7417.0,False,8817.329413194868,-37.400331694869344
7418.0,False,8822.094860311898,-37.430547680470426
7419.0,False,8826.858495628581,-37.46076085242447
7420.0,False,8831.620316830673,-37.490971210762844
7421.0,False,8836.380321606985,-37.521178755508664
7422.0,False,8841.13850565707,-37.55138347402763
7423.0,False,8845.894870660492,-37.581585391620486
7424.0,False,8850.649412323019,-37.611784495640954
7425.0,False,8855.402128345699,-37.641980786079095
7426.0,False,8860.153016432621,-37.67217426291678
7427.0,False,8864.902074290905,-37.70236492612761
7428.0,False,8869.64929963074,-37.73255277567712
7429.0,False,8874.394688172219,-37.76273779884267
7430.0,False,8879.138241617562,-37.792920020927674
7431.0,False,8883.87995569302,-37.82309942919746
7432.0,False,8888.619828120769,-37.85327602358401
7433.0,False,8893.357856625986,-37.88344980401085
7434.0,False,8898.094038936852,-37.91362077039347
7435.0,False,8902.82837278451,-37.9437889226386
7436.0,False,8907.560855903073,-37.973954260644796
7437.0,False,8912.291484035875,-38.00411677158816
7438.0,False,8917.020258910374,-38.034276480773954
7439.0,False,8921.747176275881,-38.064433375365624
7440.0,False,8926.47223387835,-38.09458745522813
7441.0,False,8931.195429466628,-38.12473872021753
7442.0,False,8935.91676079252,-38.15488717018164
7443.0,False,8940.636225610728,-38.185032804959604
7444.0,False,8945.353819684677,-38.21517561163847
7445.0,False,8950.069544763313,-38.24531561552388
7446.0,False,8954.783396615929,-38.27545280368995
7447.0,False,8959.495373008878,-38.30558717594189
7448.0,False,8964.205471711377,-38.33571873207608
7449.0,False,8968.91369049554,-38.36584747188039
7450.0,False,8973.620027136376,-38.395973395134334
7451.0,False,8978.324477417093,-38.42609648883477
7452.0,False,8983.027043107717,-38.45621677828743
7453.0,False,8987.727719997209,-38.48633425047604
7454.0,False,8992.426505872016,-38.51644890514548
7455.0,False,8997.123398521422,-38.546560742031886
7456.0,False,9001.818395737553,-38.5766697608628
7457.0,False,9006.511495315373,-38.60677596135691
7458.0,False,9011.20269505266,-38.63687934322436
7459.0,False,9015.891990754955,-38.666979893358345
7460.0,False,9020.579384215755,-38.69707763706345
7461.0,False,9025.264871246256,-38.72717256121963
7462.0,False,9029.948449655514,-38.75726466550219
7463.0,False,9034.630117255309,-38.787353949577216
7464.0,False,9039.309871860261,-38.817440413102204
7465.0,False,9043.987711287771,-38.84752405572605
7466.0,False,9048.663631362688,-38.877604864250635
7467.0,False,9053.337633898522,-38.907682863978486
7468.0,False,9058.009714725713,-38.93775804169833
7469.0,False,9062.679871672703,-38.96783039702336
7470.0,False,9067.348102570711,-38.9978999295581
7471.0,False,9072.014405253674,-39.02796663889803
7472.0,False,9076.678777558313,-39.058030524629935
7473.0,False,9081.341217324041,-39.08809158633151
7474.0,False,9086.001720397513,-39.11814981069954
7475.0,False,9090.66028861459,-39.14820522303358
7476.0,False,9095.316917827375,-39.17825781001678
7477.0,False,9099.971605886174,-39.208307571190986
7478.0,False,9104.624350644004,-39.23835450608928
7479.0,False,9109.275149956564,-39.268398614235416
7480.0,False,9113.924001682244,-39.2984398951443
7481.0,False,9118.5709016866,-39.328478335420414
7482.0,False,9123.215851824476,-39.35851396035919
7483.0,False,9127.858847966761,-39.38854675655106
7484.0,False,9132.499887982602,-39.41857672347486
7485.0,False,9137.138969743733,-39.448603860600016
7486.0,False,9141.776091124599,-39.4786281673869
7487.0,False,9146.411250002295,-39.50864964328704
7488.0,False,9151.044444256553,-39.53866828774263
7489.0,False,9155.67566977418,-39.56868408725116
7490.0,False,9160.304928431291,-39.59869706710305
7491.0,False,9164.932216119983,-39.62870721378206
7492.0,False,9169.557530730508,-39.65871452669345
7493.0,False,9174.180870155753,-39.688719005233665
7494.0,False,9178.802232291206,-39.71872064878972
7495.0,False,9183.42161503498,-39.74871945673948
7496.0,False,9188.039014292319,-39.77871541548652
7497.0,False,9192.654431957442,-39.80870855031578
7498.0,False,9197.267863940779,-39.838698847616584
7499.0,False,9201.879308150796,-39.8686863067296
7500.0,False,9206.48876249857,-39.89867092698637
7501.0,False,9211.096224897727,-39.928652707708856
7502.0,False,9215.701693264458,-39.95863164820978
7503.0,False,9220.305163522313,-39.98860773479843
7504.0,False,9224.90663758313,-40.01858099275291
7505.0,False,9229.506111375502,-40.04855140836783
7506.0,False,9234.103582825888,-40.078518980918474
7507.0,False,9238.699049863239,-40.10848370967058
7508.0,False,9243.292510419062,-40.13844559388043
7509.0,False,9247.883962427417,-40.16840463279501
7510.0,False,9252.473403824884,-40.19836082565187
7511.0,False,9257.06083055556,-40.22831415865074
7512.0,False,9261.646244551059,-40.25826465706201
7513.0,False,9266.22964176049,-40.28821230707079
7514.0,False,9270.811020130483,-40.31815710787653
7515.0,False,9275.390377610167,-40.34809905866907
7516.0,False,9279.96771215118,-40.3780381586288
7517.0,False,9284.54302170764,-40.40797440692646
7518.0,False,9289.116302241542,-40.43790778966595
7519.0,False,9293.687555701254,-40.46783833210912
7520.0,False,9298.256778053674,-40.497766020344805
7521.0,False,9302.823967262862,-40.52769085350548
7522.0,False,9307.389121295297,-40.55761283071365
7523.0,False,9311.952238119957,-40.58753195108234
7524.0,False,9316.513315708255,-40.6174482137148
7525.0,False,9321.072352034093,-40.647361617704775
7526.0,False,9325.629343079654,-40.677272149045436
7527.0,False,9330.184290812005,-40.70717983298801
7528.0,False,9334.737191218179,-40.73708465551049
7529.0,False,9339.288042281807,-40.76698661566758
7530.0,False,9343.836841988932,-40.796885712504
7531.0,False,9348.383588328054,-40.826781945054954
7532.0,False,9352.92827929009,-40.85667531234575
7533.0,False,9357.47091087472,-40.88656580027179
7534.0,False,9362.011485064982,-40.91645343407444
7535.0,False,9366.549997865319,-40.946338199633594
7536.0,False,9371.08644727625,-40.976220095935155
7537.0,False,9375.620831300703,-41.006099121955124
7538.0,False,9380.153147943984,-41.035975276659514
7539.0,False,9384.683395213791,-41.06584855900448
7540.0,False,9389.211569127176,-41.0957189547871
7541.0,False,9393.73767168273,-41.12558648923767
7542.0,False,9398.26169890215,-41.155451148137374
7543.0,False,9402.783648802657,-41.185312930402716
7544.0,False,9407.303519403778,-41.215171834939774
7545.0,False,9411.821308727425,-41.245027860644846
7546.0,False,9416.33701479786,-41.27488100640405
7547.0,False,9420.850635641695,-41.304731271093615
7548.0,False,9425.362167295601,-41.334578640396984
7549.0,False,9429.871611775534,-41.36442313953101
7550.0,False,9434.378965122743,-41.39426475416327
7551.0,False,9438.884225373165,-41.424103483129244
7552.0,False,9443.387390565093,-41.45393932525461
7553.0,False,9447.888458739153,-41.48377227935493
7554.0,False,9452.387427938253,-41.51360234423538
7555.0,False,9456.884294216083,-41.543429505479224
7556.0,False,9461.37905960337,-41.57325378829047
7557.0,False,9465.87172015832,-41.603075178236224
7558.0,False,9470.362273933055,-41.63289367408067
7559.0,False,9474.850718982045,-41.662709274578106
7560.0,False,9479.337053362011,-41.69252197847222
7561.0,False,9483.82127513197,-41.72233178449649
7562.0,False,9488.303382353199,-41.75213869137397
7563.0,False,9492.783371098723,-41.78194268457283
7564.0,False,9497.261243415662,-41.81174378928082
7565.0,False,9501.73699538145,-41.84154199094957
7566.0,False,9506.210625066456,-41.871337288260676
7567.0,False,9510.682130543337,-41.90112967988537
7568.0,False,9515.151509886977,-41.93091916448451
7569.0,False,9519.618761174546,-41.96070574070856
7570.0,False,9524.083880495751,-41.99048939392359
7571.0,False,9528.546869911754,-42.02027014930252
7572.0,False,9533.00772551664,-42.050047992194834
7573.0,False,9537.466445396507,-42.079822921208745
7574.0,False,9541.923027639714,-42.109594934942166
7575.0,False,9546.377470336853,-42.13936403198249
7576.0,False,9550.829771580742,-42.169130210906566
7577.0,False,9555.27992946638,-42.198893470280396
7578.0,False,9559.727940102443,-42.228653795352514
7579.0,False,9564.173805565702,-42.25841121127788
7580.0,False,9568.617521969067,-42.288165703287675
7581.0,False,9573.05908741642,-42.31791726990561
7582.0,False,9577.498500013835,-42.34766590964463
7583.0,False,9581.935757869564,-42.377411621006914
7584.0,False,9586.370859094037,-42.40715440248373
7585.0,False,9590.803799812407,-42.436894239220095
7586.0,False,9595.234582114663,-42.466631156353515
7587.0,False,9599.66320213017,-42.496365139011594
7588.0,False,9604.089657978073,-42.526096185642444
7589.0,False,9608.513947779742,-42.55582429468371
7590.0,False,9612.936069658686,-42.58554946456205
7591.0,False,9617.356021740583,-42.615271693693174
7592.0,False,9621.773800166891,-42.64499096711727
7593.0,False,9626.18940704058,-42.67470730995404
7594.0,False,9630.602838507237,-42.70442070722576
7595.0,False,9635.014092701156,-42.734131157304596
7596.0,False,9639.423167758774,-42.76383865855168
7597.0,False,9643.830061818708,-42.79354320931734
7598.0,False,9648.23477302167,-42.82324480794072
7599.0,False,9652.637299510507,-42.85294345274989
7600.0,False,9657.037637445212,-42.88263912866415
7601.0,False,9661.435788943116,-42.91233186078136
7602.0,False,9665.831750168263,-42.942021634002586
7603.0,False,9670.225519272013,-42.97170844661179
7604.0,False,9674.617094407837,-43.00139229688168
7605.0,False,9679.006473731333,-43.031073183073836
7606.0,False,9683.393655400174,-43.0607511034386
7607.0,False,9687.778635590415,-43.09042604278833
7608.0,False,9692.161416431654,-43.12009802620074
7609.0,False,9696.54199410397,-43.14976703847001
7610.0,False,9700.920366773427,-43.17943307780146
7611.0,False,9705.296532608214,-43.209096142389384
7612.0,False,9709.67048977858,-43.238756230416655
7613.0,False,9714.042236456924,-43.268413340055176
7614.0,False,9718.41177081764,-43.29806746946503
7615.0,False,9722.779089055006,-43.3277186033351
7616.0,False,9727.144193312279,-43.35736676671908
7617.0,False,9731.507079787654,-43.387011944287
7618.0,False,9735.867746663851,-43.41665413415363
7619.0,False,9740.226192125658,-43.44629333442234
7620.0,False,9744.582414359906,-43.475929543184925
7621.0,False,9748.936411555454,-43.50556275852145
7622.0,False,9753.288179922467,-43.53519296501208
7623.0,False,9757.63772161575,-43.5648201876877
7624.0,False,9761.985032849307,-43.59444441110914
7625.0,False,9766.330111820227,-43.6240656333106
7626.0,False,9770.672956727612,-43.65368385231458
7627.0,False,9775.013565772604,-43.683299066131895
7628.0,False,9779.351937158395,-43.712911272761836
7629.0,False,9783.688067110854,-43.74252045667411
7630.0,False,9788.021957796062,-43.77212664287606
7631.0,False,9792.353605443768,-43.80172981581832
7632.0,False,9796.683008265201,-43.831329973453066
7633.0,False,9801.010164473659,-43.86092711372108
7634.0,False,9805.335072284428,-43.89052123455109
7635.0,False,9809.657729914834,-43.92011233386036
7636.0,False,9813.978135584157,-43.94970040955387
7637.0,False,9818.296285536146,-43.97928544597408
7638.0,False,9822.612181949471,-44.008867468100334
7639.0,False,9826.925821071623,-44.038446460255216
7640.0,False,9831.237201129888,-44.06802242029628
7641.0,False,9835.546320353575,-44.09759534606945
7642.0,False,9839.853176973938,-44.127165235408384
7643.0,False,9844.157769224206,-44.15673208613457
7644.0,False,9848.460093363708,-44.18629588247801
7645.0,False,9852.76015158171,-44.21585664939186
7646.0,False,9857.057940141232,-44.24541437108588
